;DATE;HOME;AWAY;HALF_TIME_HOME_GOALS;HALF_TIME_AWAY_GOALS;FULL_TIME_HOME_GOALS;FULL_TIME_AWAY_GOALS;FULL_TIME_RESULT;MAX_HOME_ODDS;MAX_DRAW_ODDS;MAX_AWAY_ODDS;AVG_HOME_ODDS;AVG_DRAW_ODDS;AVG_AWAY_ODDS;MAX_INITIAL_HOME_ODDS;MAX_INITIAL_DRAW_ODDS;MAX_INITIAL_AWAY_ODDS;AVG_INITIAL_HOME_ODDS;AVG_INITIAL_DRAW_ODDS;AVG_INITIAL_AWAY_ODDS
0;13/08/2021;Brentford;Arsenal;1;0;2;0;H;4,62;3,72;2,1;4,02;3,43;2,02;4,2;3,5;2,18;3,89;3,28;2,1
1;14/08/2021;Man United;Leeds;1;0;5;1;H;1,59;4,65;6,35;1,55;4,48;5,87;1,71;4,33;5,8;1,64;4,19;5,22
2;14/08/2021;Burnley;Brighton;1;0;1;2;A;3,33;3,2;2,6;3,19;3,09;2,49;3,35;3,2;2,56;3,19;3,1;2,48
3;14/08/2021;Chelsea;Crystal Palace;2;0;3;0;H;1,3;6,3;15;1,26;5,92;12,8;1,36;5,5;11,5;1,33;5,17;10,58
4;14/08/2021;Everton;Southampton;0;1;3;1;H;2,04;3,66;4,25;1,97;3,53;4,04;2,12;3,5;4,2;2,04;3,39;3,95
5;14/08/2021;Leicester;Wolves;1;0;1;0;H;1,75;3,96;5,6;1,71;3,75;5,32;1,82;4,13;5,5;1,74;3,72;5,06
6;14/08/2021;Watford;Aston Villa;2;0;3;2;H;3,3;3,4;2,5;3,14;3,26;2,41;3,73;3,45;2,3;3,49;3,3;2,22
7;14/08/2021;Norwich;Liverpool;0;1;0;3;A;9,9;6;1,37;8,78;5,71;1,33;8;5,5;1,5;6,8;4,85;1,46
8;15/08/2021;Newcastle;West Ham;2;1;2;4;A;3,36;3,61;2,36;3,2;3,51;2,26;3,62;3,6;2,27;3,36;3,5;2,19
9;15/08/2021;Tottenham;Man City;0;0;1;0;H;5,85;4,3;1,68;5,49;4,1;1,64;6,53;4,33;1,65;5,88;4,12;1,6
10;21/08/2021;Liverpool;Burnley;1;0;2;0;H;1,24;7,5;17;1,21;6,97;14,41;1,31;7,1;14;1,24;6,57;12,29
11;21/08/2021;Aston Villa;Newcastle;1;0;2;0;H;1,87;4,2;4,5;1,82;3,92;4,25;1,89;4,1;4,43;1,84;3,88;4,21
12;21/08/2021;Crystal Palace;Brentford;0;0;0;0;D;2,7;3,3;3,02;2,61;3,18;2,9;2,75;3,27;3;2,65;3,16;2,9
13;21/08/2021;Leeds;Everton;1;1;2;2;D;2,45;3,6;3,19;2,37;3,47;3,03;2,25;3,6;3,7;2,13;3,49;3,53
14;21/08/2021;Man City;Norwich;2;0;5;0;H;1,13;12,5;33;1,11;10,58;25,64;1,15;11;28,44;1,12;9,88;23,15
15;21/08/2021;Brighton;Watford;2;0;2;0;H;1,8;3,6;5,9;1,74;3,52;5,53;1,8;3,75;6;1,74;3,58;5,41
16;22/08/2021;Southampton;Man United;1;0;1;1;D;5,75;4,42;1,66;5,36;4,26;1,61;5,79;4,5;1,7;5,39;4,28;1,62
17;22/08/2021;Wolves;Tottenham;0;1;0;1;A;3,42;3,29;2,55;3,2;3,15;2,43;3,17;3,2;2,84;2,93;3,06;2,7
18;22/08/2021;Arsenal;Chelsea;0;2;0;2;A;5;3,9;1,83;4,76;3,74;1,78;4,98;3,75;1,96;4,51;3,54;1,88
19;23/08/2021;West Ham;Leicester;1;0;4;1;H;2,66;3,55;2,87;2,58;3,44;2,75;2,56;3,7;3,1;2,46;3,47;2,9
20;28/08/2021;Man City;Arsenal;3;0;5;0;H;1,3;6,6;13,7;1,26;6,16;11,99;1,4;5,75;11,5;1,34;5,24;9,86
21;28/08/2021;Aston Villa;Brentford;1;1;1;1;D;2,06;3,74;4;2;3,57;3,84;2,15;3,43;4,1;2,09;3,3;3,9
22;28/08/2021;Brighton;Everton;0;1;0;2;A;2,42;3,39;3,42;2,35;3,25;3,27;2,4;3,34;3,5;2,31;3,23;3,36
23;28/08/2021;Newcastle;Southampton;0;0;2;2;D;2,6;3,77;2,94;2,52;3,47;2,82;2,56;3,74;3;2,44;3,54;2,86
24;28/08/2021;Norwich;Leicester;1;1;1;2;A;4,7;3,7;1,97;4,34;3,55;1,9;4,62;3,76;1,96;4,21;3,63;1,9
25;28/08/2021;West Ham;Crystal Palace;1;0;2;2;D;1,63;4,15;6,7;1,58;4,02;6,29;1,61;4,33;7;1,57;4,12;6,39
26;28/08/2021;Liverpool;Chelsea;1;1;1;1;D;2,6;3,51;3,08;2,5;3,33;2,95;2,55;3,63;3,26;2,43;3,32;3,07
27;29/08/2021;Burnley;Leeds;0;0;1;1;D;3,17;3,71;2,42;3,07;3,51;2,33;3,52;3,65;2,3;3,27;3,54;2,22
28;29/08/2021;Tottenham;Watford;1;0;1;0;H;1,48;4,75;9,1;1,44;4,48;8,42;1,51;4,7;9,34;1,47;4,45;7,65
29;29/08/2021;Wolves;Man United;0;0;0;1;A;5,2;3,65;1,91;4,91;3,48;1,82;5,25;3,84;1,83;4,88;3,71;1,77
30;11/09/2021;Crystal Palace;Tottenham;0;0;3;0;H;4,63;3,56;2;4,25;3,44;1,95;4,3;3,5;2,18;3,95;3,32;2,07
31;11/09/2021;Arsenal;Norwich;0;0;1;0;H;1,55;4,6;6,95;1,52;4,48;6,4;1,5;5,13;8,83;1,42;4,89;7,72
32;11/09/2021;Brentford;Brighton;0;0;0;1;A;2,99;3,26;2,78;2,86;3,14;2,69;3,2;3,24;2,88;3,01;3,01;2,67
33;11/09/2021;Leicester;Man City;0;0;0;1;A;6,15;4,5;1,63;5,7;4,22;1,6;6;4,33;1,7;5,58;4,04;1,63
34;11/09/2021;Man United;Newcastle;1;0;4;1;H;1,24;7,8;17;1,2;7,27;14,77;1,22;8,06;19,13;1,19;7,42;15,77
35;11/09/2021;Southampton;West Ham;0;0;0;0;D;2,98;3,56;2,57;2,89;3,46;2,47;3,3;3,7;2,46;3,06;3,53;2,33
36;11/09/2021;Watford;Wolves;0;0;0;2;A;3,48;3,28;2,38;3,36;3,19;2,33;4;3,29;2,35;3,57;3,17;2,25
37;11/09/2021;Chelsea;Aston Villa;1;0;3;0;H;1,33;5,75;12,94;1,3;5,46;11,28;1,4;5,6;12,3;1,34;5,29;9,78
38;12/09/2021;Leeds;Liverpool;0;1;0;3;A;4,7;4,2;1,83;4,34;4,05;1,78;5,2;4,6;1,75;4,86;4,31;1,67
39;13/09/2021;Everton;Burnley;0;0;3;1;H;1,8;3,83;5,4;1,75;3,71;5,01;1,85;3,74;5,74;1,78;3,52;5,23
40;17/09/2021;Newcastle;Leeds;1;1;1;1;D;3,15;3,75;2,42;3,01;3,62;2,33;3,25;3,8;2,34;3,09;3,67;2,26
41;18/09/2021;Wolves;Brentford;0;2;0;2;A;1,95;3,35;5;1,9;3,27;4,83;1,92;3,45;5,61;1,83;3,35;5,1
42;18/09/2021;Burnley;Arsenal;0;1;0;1;A;4;3,66;2,1;3,82;3,5;2,03;4,14;3,79;2,11;3,76;3,63;2,01
43;18/09/2021;Liverpool;Crystal Palace;1;0;3;0;H;1,25;7,3;17;1,22;6,84;14,04;1,33;7;15,1;1,27;6,16;11,26
44;18/09/2021;Man City;Southampton;0;0;0;0;D;1,19;9,5;21;1,15;8,46;18,55;1,2;9;23;1,17;8,1;16,62
45;18/09/2021;Norwich;Watford;1;1;1;3;A;2,28;3,52;3,6;2,18;3,39;3,47;2,41;3,5;3,52;2,3;3,3;3,34
46;18/09/2021;Aston Villa;Everton;0;0;3;0;H;2,5;3,51;3,19;2,4;3,36;3,06;2,39;3,5;3,65;2,18;3,36;3,52
47;19/09/2021;Brighton;Leicester;1;0;2;1;H;2,88;3,42;2,85;2,75;3,23;2,73;2,65;3,35;3,16;2,52;3,22;3,02
48;19/09/2021;West Ham;Man United;1;1;1;2;A;4,84;4,05;1,83;4,51;3,9;1,78;4,63;4;1,92;4,38;3,77;1,83
49;19/09/2021;Tottenham;Chelsea;0;0;0;3;A;5,1;4,05;1,81;4,89;3,83;1,74;4,82;3,6;2,06;4,2;3,41;1,97
